SurveyID,StationID,Date/Time,IndividualCode,Sex,Side,AnimalID
BBS_Left,BBS_01B_NW_CAM_13,2014 08 13 07 36 52,15,Female,Left,BBS_Left_15
BBS_Left,BBS_03B_SE_CAM_30,2014 07 11 09 48 51,6,Male,Left,BBS_Left_6
BBS_Left,BBS_03B_SW_CAM_26,2014 08 08 14 15 57,5,Male,Left,BBS_Left_5
BBS_Left,BBS_05B_NW_CAM_78,2014 07 05 02 12 07,5,Male,Left,BBS_Left_5
BBS_Left,BBS_05C_SW_CAM_60,2014 08 15 08 09 52,5,Male,Left,BBS_Left_5
BBS_Left,BBS_07A_SE_CAM_80,2014 08 15 11 24 17,1,Male,Left,BBS_Left_1
BBS_Left,BBS_07A_SE_CAM_80,2014 07 28 12 51 00,13,Female,Left,BBS_Left_13
BBS_Left,BBS_09D_SE_CAM_14,2014 06 29 11 52 08,1,Male,Left,BBS_Left_1
BBS_Left,BBS_10B_NW_CAM_25,2014 07 18 12 19 04,10,Female,Left,BBS_Left_10
BBS_Left,BBS_10B_NW_CAM_25,2014 07 19 16 48 24,10,Female,Left,BBS_Left_10
BBS_Left,BBS_10B_NW_CAM_25,2014 07 24 07 05 58,10,Female,Left,BBS_Left_10
BBS_Left,BBS_10B_NW_CAM_25,2014 07 24 07 06 18,11,Unknown,Left,BBS_Left_11
BBS_Left,BBS_11C_NW_CAM_35,2014 09 02 17 14 40,2,Unknown,Left,BBS_Left_2
BBS_Left,BBS_11D_SW_CAM_50,2014 06 30 20 09 54,2,Unknown,Left,BBS_Left_2
BBS_Right,BBS_01B_SE_CAM_39,2014 07 31 07 06 18,3,Male,Right,BBS_Right_18
BBS_Right,BBS_01B_NE_CAM_55,2014 07 31 07 05 44,3,Male,Right,BBS_Right_3
BBS_Right,BBS_04B_NE_CAM_12,2014 07 11 12 17 24,7,Male,Right,BBS_Right_7
BBS_Right,BBS_04B_NE_CAM_12,2014 07 14 15 17 14,8,Male,Right,BBS_Right_8
BBS_Right,BBS_04B_SW_CAM_21,2014 09 03 15 54 47,8,Male,Right,BBS_Right_8
BBS_Right,BBS_05C_SE_CAM_81,2014 08 15 06 16 05,8,Male,Right,BBS_Right_8
BBS_Right,BBS_09C_SE_CAM_02,2014 07 30 11 43 06,14,Male,Right,BBS_Right_14
BBS_Right,BBS_09D_SE_CAM_14,2014 07 01 06 37 04,3,Male,Right,BBS_Right_3
BBS_Right,BBS_09D_SE_CAM_14,2014 08 17 14 22 18,16,Female,Right,BBS_Right_16
BBS_Right,BBS_09E_SE_CAM_31,2014 07 04 06 15 15,4,Unknown,Right,BBS_Right_4
BBS_Right,BBS_09E_SW_CAM_44,2014 09 09 01 25 31,17,Unknown,Right,BBS_Right_17
BBS_Right,BBS_10B_NE_CAM_17,2014 08 02 02 27 34,14,Male,Right,BBS_Right_14
BBS_Right,BBS_11B_NE_CAM_18,2014 07 28 05 56 58,12,Male,Right,BBS_Right_12
BBS_Right,BBS_11C_NW_CAM_35,2014 07 15 03 14 00,9,Female,Right,BBS_Right_9
Kerinci,Kerinci_09A_SW_SD_56,2014 05 26 19 10 21,1,Female,Left,Kerinci_1
Kerinci,Kerinci_09A_SW_SD_56,2014 07 08 16 44 28,1,Female,Right,Kerinci_1
Kerinci,Kerinci_09A_SW_SD_56,2014 07 25 19 03 12,1,Female,Right,Kerinci_1
Kerinci,Kerinci_09AA_SE_SD_48,2014 04 26 05 51 52,1,Female,Right,Kerinci_1
Kerinci,KSI_CAM11_LipaiHill2_T1,2014 06 02 17 08 22,2,Unknown,Left,Kerinci_2
Kerinci,KSI_CAM11_LipaiHill2_T1,2014 05 07 18 30 14,2,Unknown,Right,Kerinci_2
Kerinci,KSI_CAM11_LipaiHill2_T1,2014 06 02 17 08 22,2,Unknown,Right,Kerinci_2
Kerinci,TKA_CAM01_Mini100_T1,2014 08 06 22 54 05,1,Female,Left,Kerinci_1
Kerinci,TKA_CAM01_Mini100_T1,2014 07 13 02 16 09,1,Female,Right,Kerinci_1
Kerinci,TKA_CAM02_Mini100_T1,2014 07 24 03 41 36,1,Female,Left,Kerinci_1
Kerinci,TKA_CAM03_Mini100_T1,2014 02 16 03 13 38,1,Female,Left,Kerinci_1
Kerinci,TKA_CAM03_Mini100_T1,2014 06 16 21 28 17,3,Female,Right,Kerinci_3
Leuser,Leuser_08B_SW_SD_26,2014 01 10 08 14 44,2,Female,Left,Leuser_2
Leuser,Leuser_12A_SE_SD_79,2014 03 14 03 26 00,2,Female,Left,Leuser_2
Leuser,Leuser_12A_SW_SD_48,2014 02 23 14 08 23,3,Female,Left,Leuser_3
Leuser,Leuser_12A_SW_SD_48,2014 02 23 14 08 45,3,Female,Right,Leuser_3
Leuser,Leuser_13A_NW_SD_43,2014 02 13 18 47 59,1,Male,Left,Leuser_1
Leuser,Leuser_13A_NW_SD_43,2014 02 13 18 48 52,1,Male,Right,Leuser_1
Leuser,Leuser_13C_NE_SD_51,2014 02 16 09 18 51,4,Male,Right,Leuser_4
Leuser,Leuser_14A_NW_SD_69,2014 05 01 17 09 34,1,Male,Left,Leuser_1
Leuser,Leuser_14B_NE_SD_41,2014 02 12 13 27 38,1,Male,Left,Leuser_1
Leuser,Leuser_17C_NE_SD_32,2014 02 07 08 35 20,5,Male,Right,Leuser_5
